"state_name","year","median_weekly_income"
"New South Wales",2010,"900.00"
"Northern Territory",2010,"1000.00"
"Queensland",2010,"850.00"
"South Australia",2010,"804.00"
"Tasmania",2010,"769.00"
"Victoria",2010,"849.30"
"Western Australia",2010,"959.50"
"Australia",2011,"900.00"
"Australian Capital Territory",2011,"1100.00"
"New South Wales",2011,"900.00"
"Northern Territory",2011,"1000.00"
"Queensland",2011,"900.00"
"South Australia",2011,"846.00"
"Tasmania",2011,"800.00"
"Victoria",2011,"871.10"
"Western Australia",2011,"1000.00"
"Australia",2012,"947.00"
"Australian Capital Territory",2012,"1171.00"
"New South Wales",2012,"947.00"
"Northern Territory",2012,"1050.00"
"Queensland",2012,"947.00"
"South Australia",2012,"900.00"
"Tasmania",2012,"825.00"
"Victoria",2012,"900.00"
"Western Australia",2012,"1021.20"
"Australia",2013,"950.00"
"Australian Capital Territory",2013,"1210.60"
"New South Wales",2013,"950.00"
"Northern Territory",2013,"1100.00"
"Queensland",2013,"950.00"
"South Australia",2013,"900.00"
"Tasmania",2013,"842.40"
"Victoria",2013,"900.00"
"Western Australia",2013,"1045.30"
"Australia",2014,"1000.00"
"Australian Capital Territory",2014,"1200.00"
"New South Wales",2014,"1000.00"
"Northern Territory",2014,"1250.00"
"Queensland",2014,"980.00"
"South Australia",2014,"925.00"
"Tasmania",2014,"862.70"
"Victoria",2014,"950.00"
"Western Australia",2014,"1129.10"
"Australia",2015,"1000.00"
"Australian Capital Territory",2015,"1256.10"
"New South Wales",2015,"1000.00"
"Northern Territory",2015,"1200.00"
"Queensland",2015,"1000.00"
"South Australia",2015,"952.40"
"Tasmania",2015,"880.00"
"Victoria",2015,"950.00"
"Western Australia",2015,"1088.00"
"Australia",2016,"1000.00"
"Australian Capital Territory",2016,"1250.00"
"New South Wales",2016,"1000.00"
"Northern Territory",2016,"1250.00"
"Queensland",2016,"1000.00"
"South Australia",2016,"950.00"
"Tasmania",2016,"900.00"
"Victoria",2016,"1000.00"
"Western Australia",2016,"1100.00"
"Australia",2017,"1016.00"
"Australian Capital Territory",2017,"1300.00"
"New South Wales",2017,"1050.00"
"Northern Territory",2017,"1212.00"
"Queensland",2017,"1000.00"
"South Australia",2017,"973.30"
"Tasmania",2017,"950.00"
"Victoria",2017,"1000.00"
"Western Australia",2017,"1100.00"
"Australia",2018,"1074.00"
"Australian Capital Territory",2018,"1300.00"
"New South Wales",2018,"1073.00"
"Northern Territory",2018,"1249.00"
"Queensland",2018,"1050.00"
"South Australia",2018,"1000.00"
"Tasmania",2018,"974.00"
"Victoria",2018,"1070.00"
"Western Australia",2018,"1155.50"
"Australia",2019,"1100.00"
"Australian Capital Territory",2019,"1300.00"
"New South Wales",2019,"1150.00"
"Northern Territory",2019,"1200.00"
"Queensland",2019,"1057.00"
"South Australia",2019,"1013.80"
"Tasmania",2019,"1000.00"
"Victoria",2019,"1072.50"
"Western Australia",2019,"1200.00"
"Australia",2020,"1150.00"
"Australian Capital Territory",2020,"1450.00"
"New South Wales",2020,"1150.00"
"Northern Territory",2020,"1220.70"
"Queensland",2020,"1100.00"
"South Australia",2020,"1054.00"
"Tasmania",2020,"1000.00"
"Victoria",2020,"1150.00"
"Western Australia",2020,"1250.00"
"Australia",2021,"1200.00"
"Australian Capital Territory",2021,"1493.00"
"New South Wales",2021,"1250.00"
"Northern Territory",2021,"1338.90"
"Queensland",2021,"1125.00"
"South Australia",2021,"1100.00"
"Tasmania",2021,"1008.10"
"Victoria",2021,"1181.00"
"Western Australia",2021,"1236.40"
"Australia",2022,"1248.00"
"Australian Capital Territory",2022,"1500.00"
"New South Wales",2022,"1246.70"
"Northern Territory",2022,"1381.00"
"Queensland",2022,"1214.30"
"South Australia",2022,"1128.10"
