"year","state_name","population_count"
2001,"Victoria","19083604"
2001,"Western Australia","7637535"
2002,"Australia","78102872"
2002,"Australian Capital Territory","1300019"
2002,"New South Wales","26346203"
2002,"Northern Territory","807749"
2002,"Queensland","14662235"
2002,"South Australia","6050965"
2002,"Tasmania","1898994"
2002,"Victoria","19302121"
2002,"Western Australia","7725034"
2003,"Australia","78997949"
2003,"Australian Capital Territory","1309423"
2003,"New South Wales","26498474"
2003,"Northern Territory","806282"
2003,"Queensland","15020029"
2003,"South Australia","6085889"
2003,"Tasmania","1917350"
2003,"Victoria","19526025"
2003,"Western Australia","7825132"
2004,"Australia","79862507"
2004,"Australian Capital Territory","1316129"
2004,"New South Wales","26628637"
2004,"Northern Territory","812056"
2004,"Queensland","15363094"
2004,"South Australia","6118266"
2004,"Tasmania","1934729"
2004,"Victoria","19745725"
2004,"Western Australia","7934441"
2005,"Australia","80859667"
2005,"Australian Capital Territory","1327997"
2005,"New South Wales","26804533"
2005,"Northern Territory","824946"
2005,"Queensland","15720114"
2005,"South Australia","6162458"
2005,"Tasmania","1946948"
2005,"Victoria","19997032"
2005,"Western Australia","8066146"
2006,"Australia","82018927"
2006,"Australian Capital Territory","1344397"
2006,"New South Wales","27030511"
2006,"Northern Territory","838717"
2006,"Queensland","16083070"
2006,"South Australia","6221296"
2006,"Tasmania","1960311"
2006,"Victoria","20297031"
2006,"Western Australia","8233930"
2007,"Australia","83510720"
2007,"Australian Capital Territory","1370705"
2007,"New South Wales","27393103"
2007,"Northern Territory","857918"
2007,"Queensland","16490497"
2007,"South Australia","6290851"
2007,"Tasmania","1976292"
2007,"Victoria","20665614"
2007,"Western Australia","8455554"
2008,"Australia","85239801"
2008,"Australian Capital Territory","1395489"
2008,"New South Wales","27837545"
2008,"Northern Territory","881776"
2008,"Queensland","16934526"
2008,"South Australia","6364678"
2008,"Tasmania","1997956"
2008,"Victoria","21089209"
2008,"Western Australia","8727762"
2009,"Australia","86947040"
2009,"Australian Capital Territory","1422305"
2009,"New South Wales","28266857"
2009,"Northern Territory","904987"
2009,"Queensland","17351965"
2009,"South Australia","6446215"
2009,"Tasmania","2019713"
2009,"Victoria","21537729"
2009,"Western Australia","8985669"
2010,"Australia","88272718"
2010,"Australian Capital Territory","1449798"
2010,"New South Wales","28615265"
2010,"Northern Territory","919137"
2010,"Queensland","17650897"
2010,"South Australia","6514067"
2010,"Tasmania","2036729"
2010,"Victoria","21880694"
2010,"Western Australia","9193912"
2011,"Australia","89563750"
2011,"Australian Capital Territory","1476680"
2011,"New South Wales","28921516"
2011,"Northern Territory","927049"
2011,"Queensland","17951502"
2011,"South Australia","6566958"
2011,"Tasmania","2046350"
2011,"Victoria","22214675"
2011,"Western Australia","9446579"
2012,"Australia","91136353"
2012,"Australian Capital Territory","1509790"
2012,"New South Wales","29270029"
2012,"Northern Territory","946435"
2012,"Queensland","18317704"
2012,"South Australia","6632721"
2012,"Tasmania","2047112"
2012,"Victoria","22666451"
2012,"Western Australia","9733980"
2013,"Australia","92689141"
2013,"Australian Capital Territory","1536347"
2013,"New South Wales","29672831"
2013,"Northern Territory","966434"
2013,"Queensland","18643477"
2013,"South Australia","6692909"
2013,"Tasmania","2049996"
2013,"Victoria","23154668"
2013,"Western Australia","9960659"
2014,"Australia","94085111"
2014,"Australian Capital Territory","1559624"
2014,"New South Wales","30094635"
2014,"Northern Territory","971638"
2014,"Queensland","18906716"
2014,"South Australia","6753729"
2014,"Tasmania","2055240"
2014,"Victoria","23649139"
2014,"Western Australia","10082825"
2015,"Australia","95450476"
2015,"Australian Capital Territory","1586718"
2015,"New South Wales","30528624"
2015,"Northern Territory","976411"
2015,"Queensland","19138584"
2015,"South Australia","6808741"
2015,"Tasmania","2061320"
2015,"Victoria","24168134"
2015,"Western Australia","10170530"
2016,"Australia","96976926"
2016,"Australian Capital Territory","1619695"
2016,"New South Wales","31003810"
2016,"Northern Territory","982813"
2016,"Queensland","19419932"
2016,"South Australia","6860032"
2016,"Tasmania","2075962"
2016,"Victoria","24753432"
2016,"Western Australia","10244582"
2017,"Australia","98553086"
2017,"Australian Capital Territory","1666253"
2017,"New South Wales","31474477"
2017,"Northern Territory","988019"
2017,"Queensland","19738844"
2017,"South Australia","6922635"
2017,"Tasmania","2112247"
2017,"Victoria","25272887"
2017,"Western Australia","10359062"
2018,"Australia","100058548"
2018,"Australian Capital Territory","1709066"
2018,"New South Wales","31877253"
2018,"Northern Territory","986695"
2018,"Queensland","20066555"
2018,"South Australia","6995956"
2018,"Tasmania","2155213"
2018,"Victoria","25756295"
2018,"Western Australia","10492637"
2019,"Australia","101558299"
2019,"Australian Capital Territory","1748431"
2019,"New South Wales","32239450"
2019,"Northern Territory","985465"
2019,"Queensland","20399434"
2019,"South Australia","7083218"
2019,"Tasmania","2196931"
2019,"Victoria","26213969"
2019,"Western Australia","10672311"
2020,"Australia","102541211"
2020,"Australian Capital Territory","1781337"
2020,"New South Wales","32415816"
2020,"Northern Territory","989971"
2020,"Queensland","20677318"
2020,"South Australia","7164894"
2020,"Tasmania","2234861"
2020,"Victoria","26390314"
2020,"Western Australia","10867450"
2021,"Australia","102816986"
2021,"Australian Capital Territory","1811484"
2021,"New South Wales","32403853"
2021,"Northern Territory","996301"
2021,"Queensland","20895063"
2021,"South Australia","7212815"
2021,"Tasmania","2269517"
2021,"Victoria","26201253"
2021,"Western Australia","11007293"
2022,"Australia","104421297"
2022,"Australian Capital Territory","1850706"
2022,"New South Wales","32823257"
2022,"Northern Territory","1014905"
2022,"Queensland","21313379"
2022,"South Australia","7316843"
2022,"Tasmania","2289817"
2022,"Victoria","26564897"
2022,"Western Australia","11227785"
2023,"Australia","106962015"
2023,"Australian Capital Territory","1889204"
2023,"New South Wales","33517388"
2023,"Northern Territory","1031660"
2023,"Queensland","21868471"
2023,"South Australia","7445357"
2023,"Tasmania","2295600"
2023,"Victoria","27281154"
2023,"Western Australia","11613283"
2024,"Australia","108997481"
2024,"Australian Capital Territory","1916980"
2024,"New South Wales","34024822"
2024,"Northern Territory","1046095"
2024,"Queensland","22336087"
2024,"South Australia","7538462"
2024,"Tasmania","2301271"
2024,"Victoria","27865798"
2024,"Western Australia","11948004"
2025,"Australia","110664209"
2025,"Australian Capital Territory","1941279"
2025,"New South Wales","34426297"
2025,"Northern Territory","1065239"
2025,"Queensland","22723384"
2025,"South Australia","7617447"
2025,"Tasmania","2312408"
2025,"Victoria","28338861"
2025,"Western Australia","12219219"
